,topic,year,topic_count,total_posts_per_year,topic_proportion_year
183,Topic 7,2013,91,19872,0.004579307568438004
184,Topic 7,2014,98,23734,0.004129097497261313
185,Topic 7,2015,170,40541,0.0041932858094274935
186,Topic 7,2016,374,59424,0.006293753365643511
187,Topic 7,2017,595,79365,0.007497007497007497
188,Topic 7,2018,419,62029,0.006754904963807252
189,Topic 7,2019,372,62416,0.005960010253781082
190,Topic 7,2020,459,81554,0.005628172744439267
191,Topic 7,2021,308,52101,0.005911594787048233
192,Topic 7,2022,220,38252,0.005751333263620203
193,Topic 7,2023,134,25299,0.005296652041582671
194,Topic 8,2011,19,1400,0.013571428571428571
195,Topic 8,2012,168,15956,0.010528954625219354
196,Topic 8,2013,193,19872,0.009712157809983897
197,Topic 8,2014,178,23734,0.007499789331760344
198,Topic 8,2015,290,40541,0.007153252263141017
199,Topic 8,2016,374,59424,0.006293753365643511
200,Topic 8,2017,408,79365,0.005140805140805141
201,Topic 8,2018,330,62029,0.005320092214931725
202,Topic 8,2019,296,62416,0.004742373750320431
203,Topic 8,2020,413,81554,0.005064129288569537
204,Topic 8,2021,205,52101,0.003934665361509376
205,Topic 8,2022,195,38252,0.0050977726654815435
206,Topic 8,2023,122,25299,0.004822324993082731
207,Topic 9,2011,3,1400,0.002142857142857143
208,Topic 9,2012,10,15956,0.00062672348959639
209,Topic 9,2013,34,19872,0.001710950080515298
210,Topic 9,2014,56,23734,0.0023594842841493215
211,Topic 9,2015,147,40541,0.0036259589057990676
212,Topic 9,2016,358,59424,0.006024501884760366
213,Topic 9,2017,534,79365,0.006728406728406728
214,Topic 9,2018,290,62029,0.0046752325525157585
215,Topic 9,2019,301,62416,0.0048224814150217895
216,Topic 9,2020,567,81554,0.00695244868430733
217,Topic 9,2021,385,52101,0.007389493483810292
218,Topic 9,2022,263,38252,0.006875457492418697
219,Topic 9,2023,152,25299,0.006008142614332582
